u,v,e_type,ts,u_type,v_type,e_idx
111,2302,2,1673827266,1,3,485
111,855,2,1673827266,1,3,486
111,1550,2,1673827266,1,3,487
111,283,2,1673827266,1,3,488
216,8957,0,1673828235,1,2,489
253,8957,1,1673828235,1,2,490
111,8969,0,1673828531,1,2,491
59,8969,1,1673828531,1,2,492
253,484,2,1673830100,1,3,493
253,1,2,1673830100,1,3,494
216,2390,2,1673830100,1,3,495
253,1808,2,1673830100,1,3,496
253,2399,2,1673830100,1,3,497
216,1530,2,1673830100,1,3,498
216,1879,2,1673830100,1,3,499
216,345,2,1673830100,1,3,500
216,2077,2,1673830100,1,3,501
253,1625,2,1673830100,1,3,502
45,2824,2,1673830487,1,3,503
45,2721,2,1673830487,1,3,504
45,2580,2,1673830487,1,3,505
45,2610,2,1673830487,1,3,506
45,2433,2,1673830487,1,3,507
51,2244,2,1673830487,1,3,508
51,175,2,1673830487,1,3,509
51,351,2,1673830487,1,3,510
51,2533,2,1673830487,1,3,511
51,90,2,1673830487,1,3,512
253,8947,0,1673832226,1,2,513
216,8947,1,1673832226,1,2,514
45,8946,1,1673833130,1,2,515
51,8946,0,1673833130,1,2,516
265,1668,2,1673846182,1,3,517
265,1426,2,1673846182,1,3,518
175,1841,2,1673846182,1,3,519
175,1570,2,1673846182,1,3,520
175,986,2,1673846182,1,3,521
175,763,2,1673846182,1,3,522
175,2571,2,1673846182,1,3,523
265,1408,2,1673846182,1,3,524
265,1650,2,1673846182,1,3,525
265,2313,2,1673846182,1,3,526
175,13022,0,1673847958,1,2,527
265,13022,1,1673847958,1,2,528
175,763,2,1673849168,1,3,529
175,2571,2,1673849168,1,3,530
265,1408,2,1673849168,1,3,531
265,1650,2,1673849168,1,3,532
175,986,2,1673849168,1,3,533
265,1426,2,1673849168,1,3,534
265,1668,2,1673849168,1,3,535
265,2313,2,1673849168,1,3,536
175,1841,2,1673849168,1,3,537
175,1570,2,1673849168,1,3,538
175,13026,0,1673850951,1,2,539
265,13026,1,1673850951,1,2,540
88,495,2,1673856625,1,3,541
88,1239,2,1673856625,1,3,542
88,2798,2,1673856625,1,3,543
88,809,2,1673856625,1,3,544
88,1195,2,1673856625,1,3,545
154,1503,2,1673856625,1,3,546
154,748,2,1673856625,1,3,547
154,1747,2,1673856625,1,3,548
154,608,2,1673856625,1,3,549
154,92,2,1673856625,1,3,550
154,13023,1,1673858873,1,2,551
88,13023,0,1673858873,1,2,552
88,809,2,1673860189,1,3,553
88,1239,2,1673860189,1,3,554
88,495,2,1673860189,1,3,555
154,92,2,1673860189,1,3,556
154,608,2,1673860189,1,3,557
88,2798,2,1673860189,1,3,558
154,748,2,1673860189,1,3,559
154,1747,2,1673860189,1,3,560
88,1195,2,1673860189,1,3,561
154,1503,2,1673860189,1,3,562
12,1994,2,1673860896,1,3,563
12,2259,2,1673860896,1,3,564
12,1708,2,1673860896,1,3,565
12,2927,2,1673860896,1,3,566
205,2612,2,1673860896,1,3,567
12,2805,2,1673860896,1,3,568
205,177,2,1673860896,1,3,569
205,1783,2,1673860896,1,3,570
205,824,2,1673860896,1,3,571
205,1549,2,1673860896,1,3,572
154,13027,0,1673861986,1,2,573
88,13027,1,1673861986,1,2,574
205,4071,0,1673862901,1,2,575
12,4071,1,1673862901,1,2,576
88,1239,2,1673863494,1,3,577
88,1195,2,1673863494,1,3,578
154,1653,2,1673863494,1,3,579
154,748,2,1673863494,1,3,580
154,1747,2,1673863494,1,3,581
154,608,2,1673863494,1,3,582
154,92,2,1673863494,1,3,583
88,495,2,1673863494,1,3,584
88,2798,2,1673863494,1,3,585
88,809,2,1673863494,1,3,586
205,2612,2,1673864232,1,3,587
205,1549,2,1673864232,1,3,588
205,177,2,1673864232,1,3,589
205,1783,2,1673864232,1,3,590
205,824,2,1673864232,1,3,591
12,2259,2,1673864232,1,3,592
12,1994,2,1673864232,1,3,593
12,2805,2,1673864232,1,3,594
12,1708,2,1673864232,1,3,595
12,2927,2,1673864232,1,3,596
88,13014,1,1673864799,1,2,597
154,13014,0,1673864799,1,2,598
12,4072,1,1673866105,1,2,599
205,4072,0,1673866105,1,2,600
458,230,2,1673867858,1,3,601
490,817,2,1673867858,1,3,602
490,172,2,1673867858,1,3,603
490,220,2,1673867858,1,3,604
490,2341,2,1673867858,1,3,605
490,2021,2,1673867858,1,3,606
458,1098,2,1673867858,1,3,607
458,2366,2,1673867858,1,3,608
458,111,2,1673867858,1,3,609
